zip,latitude,longitude,city,stateCode,state,county,country,countryCodeIso2,countryCodeIso3,type
35004,33.60277,-86.49615,Moody,AL,Alabama,St. Clair,United State Of America,US,USA,Location
35005,33.59515,-87.00089,Adamsville,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35006,33.42921,-87.19707,Adger,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35007,33.21591,-86.79717,Alabaster,AL,Alabama,Shelby,United State Of America,US,USA,Location
35010,32.91644,-85.9368,Alexander City,AL,Alabama,Tallapoosa,United State Of America,US,USA,Location
35013,33.90169,-86.51787,Allgood,AL,Alabama,Blount,United State Of America,US,USA,Location
35014,33.35989,-86.26918,Alpine,AL,Alabama,Talladega,United State Of America,US,USA,Location
35016,34.32333,-86.50143,Arab,AL,Alabama,Marshall,United State Of America,US,USA,Location
35019,34.29851,-86.63523,Baileyton,AL,Alabama,Cullman,United State Of America,US,USA,Location
35020,33.40269,-86.95161,Bessemer,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35022,33.32251,-86.96577,Bessemer,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35023,33.46814,-87.09264,Bessemer,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35031,34.10155,-86.54751,Blountsville,AL,Alabama,Blount,United State Of America,US,USA,Location
35032,33.26491,-86.33644,Bon Air,AL,Alabama,Talladega,United State Of America,US,USA,Location
35033,33.94235,-87.02962,Bremen,AL,Alabama,Cullman,United State Of America,US,USA,Location
35034,32.91192,-87.26985,Brent,AL,Alabama,Bibb,United State Of America,US,USA,Location
35035,33.04272,-86.97382,Brierfield,AL,Alabama,Bibb,United State Of America,US,USA,Location
35036,33.64396,-86.91957,Brookside,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35040,33.10387,-86.73003,Calera,AL,Alabama,Shelby,United State Of America,US,USA,Location
35042,32.95457,-87.1148,Centreville,AL,Alabama,Bibb,United State Of America,US,USA,Location
35043,33.31372,-86.65869,Chelsea,AL,Alabama,Shelby,United State Of America,US,USA,Location
35044,33.2489,-86.37289,Childersburg,AL,Alabama,Talladega,United State Of America,US,USA,Location
35045,32.80704,-86.67285,Clanton,AL,Alabama,Chilton,United State Of America,US,USA,Location
35046,32.92285,-86.54504,Clanton,AL,Alabama,Chilton,United State Of America,US,USA,Location
35049,33.95599,-86.59996,Cleveland,AL,Alabama,Blount,United State Of America,US,USA,Location
35051,33.20547,-86.61971,Columbiana,AL,Alabama,Shelby,United State Of America,US,USA,Location
35052,33.59174,-86.40848,Cook Springs,AL,Alabama,St. Clair,United State Of America,US,USA,Location
35053,34.05329,-87.0679,Crane Hill,AL,Alabama,Cullman,United State Of America,US,USA,Location
35054,33.50958,-86.32868,Cropwell,AL,Alabama,St. Clair,United State Of America,US,USA,Location
35055,34.15399,-86.75906,Cullman,AL,Alabama,Cullman,United State Of America,US,USA,Location
35057,34.1379,-86.96041,Cullman,AL,Alabama,Cullman,United State Of America,US,USA,Location
35058,34.23134,-86.73788,Cullman,AL,Alabama,Cullman,United State Of America,US,USA,Location
35060,33.5586,-86.94668,Docena,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35061,33.472,-86.95597,Dolomite,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35062,33.72907,-87.02034,Dora,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35063,33.81953,-87.00754,Empire,AL,Alabama,Walker,United State Of America,US,USA,Location
35064,33.47608,-86.92025,Fairfield,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35068,33.60745,-86.83098,Fultondale,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35070,34.00977,-86.75419,Garden City,AL,Alabama,Cullman,United State Of America,US,USA,Location
35071,33.70489,-86.84369,Gardendale,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35072,33.08977,-86.06138,Goodwater,AL,Alabama,Coosa,United State Of America,US,USA,Location
35073,33.65405,-86.98034,Graysville,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35074,33.22242,-87.12425,Green Pond,AL,Alabama,Bibb,United State Of America,US,USA,Location
35077,34.02052,-86.83216,Hanceville,AL,Alabama,Cullman,United State Of America,US,USA,Location
35078,33.32338,-86.44236,Harpersville,AL,Alabama,Shelby,United State Of America,US,USA,Location
35079,33.94055,-86.75551,Hayden,AL,Alabama,Blount,United State Of America,US,USA,Location
35080,33.25974,-86.91282,Helena,AL,Alabama,Shelby,United State Of America,US,USA,Location
35082,33.16334,-86.15567,Hollins,AL,Alabama,Clay,United State Of America,US,USA,Location
35083,34.19826,-86.59912,Holly Pond,AL,Alabama,Cullman,United State Of America,US,USA,Location
35085,32.97961,-86.73684,Jemison,AL,Alabama,Chilton,United State Of America,US,USA,Location
35087,34.30644,-86.5844,Joppa,AL,Alabama,Cullman,United State Of America,US,USA,Location
35089,32.93807,-86.08227,Kellyton,AL,Alabama,Coosa,United State Of America,US,USA,Location
35091,33.77929,-86.7896,Kimberly,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35094,33.52089,-86.55997,Leeds,AL,Alabama,Shelby,United State Of America,US,USA,Location
35096,33.62052,-86.10862,Lincoln,AL,Alabama,Talladega,United State Of America,US,USA,Location
35097,33.89436,-86.6261,Locust Fork,AL,Alabama,Blount,United State Of America,US,USA,Location
35098,34.12469,-87.0416,Logan,AL,Alabama,Cullman,United State Of America,US,USA,Location
35111,33.28425,-87.09455,Mc Calla,AL,Alabama,Tuscaloosa,United State Of America,US,USA,Location
35112,33.68963,-86.4708,Margaret,AL,Alabama,St. Clair,United State Of America,US,USA,Location
35114,33.22306,-86.87245,Alabaster,AL,Alabama,Shelby,United State Of America,US,USA,Location
35115,33.12003,-86.89578,Montevallo,AL,Alabama,Shelby,United State Of America,US,USA,Location
35116,33.73135,-86.76641,Morris,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35117,33.67295,-86.8968,Mount Olive,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35118,33.5372,-87.05146,Mulga,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35119,33.64357,-86.77321,New Castle,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35120,33.66652,-86.42306,Odenville,AL,Alabama,St. Clair,United State Of America,US,USA,Location
35121,33.94125,-86.45527,Oneonta,AL,Alabama,Blount,United State Of America,US,USA,Location
35124,33.31347,-86.76317,Pelham,AL,Alabama,Shelby,United State Of America,US,USA,Location
